#,Month,Buyer/Investor,Acquired,Focus,Buyer HQ City,State,Country,Private Equity Backer,Price,Valuation
64,December,Brookfield Infrastructure,Cincinnati Bell,"Telecom, MSP, CSP",Toronto,Ontario,Canada,NA,"$2,600",6.5
63,December,Telaid,TDC,IT Projects,Niantic,Connecticut,United States,NA,NA,NA
62,December,Carbon60,Cirrus9,"MSP, CSP",Toronto,Ontario,Canada,M/C Partners,NA,NA
61,December,NetGain Technologies,Progressive Computer Systems Inc.,MSP,Lexington,Kentucky,USA,Evergreen Services Group,NA,NA
60,December,BCM One,Arena One,UCaaS,New York,New York,United States,Thompson Street Capital Partners,NA,NA
59,December,Marco,Image Systems for Business,Office Equipment,St. Cloud,Minnesota,United States,NA,NA,NA
58,December,BC Partners,Presidio,IT Solutions Provider,London,,United Kingdom,BC Partners,"$2,200",9.1
57,December,Atos,Maven Wave,Google Cloud Partner,Bezons,,France,NA,NA,NA
56,December,ZRG Partners,Mirror Partners,IT Staffing,Rochelle Park,New Jersey,United States,NA,NA,NA
55,December,Francisco Partners,LogMeIn,Software,San Francisco,California,United States,Francisco Partners,"$4,300",NA
54,December,Intel,Habana Labs,"Artificial Intelligence, Machine Learning",Santa Clara,California,United States,NA,"$2,000",NA
53,December,Tech Data,Inflow Technologies,Distributor,Tampa,Florida,United States,Apollo Global Management,NA,NA
52,December,Cisco Systems Inc.,Exablaze,Networking,San Jose,California,United States,NA,NA,NA
51,December,NTI Connect,Verticom,Network Services,Chicago,Illinois,United States,ORIX Capital Partners,NA,NA
50,December,Accenture,Clarity Insights,"Artificial Intelligence, Machine Learning",Dublin,,Ireland,NA,NA,NA
49,December,Softtek,Vector ITC,IT Consulting,Monterrey,,Mexico,NA,NA,NA
48,December,Kore,Integron,"MSP, IoT",Alpharetta,Georgia,United States,NA,NA,NA
47,December,SolarWinds,VividCortex,Database Performance Monitoring,Austin,Texas,United States,Thoma Bravo,NA,NA
46,December,Acronis,5nine,Microsoft Azure Partner,Schaffhausen,,Switzerland,Goldman Sachs,NA,NA
45,December,Segra,NorthState Telecommunications Corporation,"Network Services, CSP, Cybersecurity",Charlotte,North Carolina,United States,EQT,$240,NA
44,December,Simplus,Clout Partners,Salesforce Partner,Salt Lake City,Utah,United States,Kensington-SV Global InNovemberations,NA,NA
43,December,AppSmart,CNSG,IT Consulting,Raleigh,North Carolina,United States,NA,NA,NA
42,December,Kin + Carta,Spire Digital,Software Development,London,,United Kingdom,NA,NA,NA
41,December,Logically,Carolinas IT,MSP,Portlant,Maine,United States,NA,NA,NA
40,December,Transom Capital Group,Scantron Corp.,MSP,Los Angeles,California,United States,Transom Capital Group,NA,NA
39,December,NTT Data Services,Flux7,AWS Cloud Partner,Plano,Texas,United States,NA,NA,NA
38,December,Snow Software,Embotics,Multi-Cloud Management,Stockholm,,Sweden,NA,NA,NA
37,December,Ridgewall Group,QDOS SBL,"MSP, Hospitality",London,,United Kingdom,Inflexion Private Equity,NA,NA
36,December,Accenture,Apis Group,"IT Consulting, Government",Dublin,,Ireland,NA,NA,NA
35,December,TEKsystems Global Services,1Strategy,AWS Cloud Partner,HaNovemberer,Maryland,United States,NA,NA,NA
34,November,DEVsource Technology Solutions,Upright Technologies,IT Consulting,Murray,Kentucky,United States,NA,NA,NA
33,November,Ingram Micro,Quosphere,Salesforce Partner,Irvine,California,United States,HNA Group,NA,NA
32,November,Coretelligent,SoundView IT Solutions,MSP,Westwood,Massachusetts,United States,VSS,NA,NA
31,November,Alliance Technologies,Tuva Interactive,Software Development,St. Louis,MIssouri,United States,NA,NA,NA
30,November,ITVantix,WAHL Telecommunications Systems,Telecom Services,Warner Robins,Georgia,United States,NA,NA,NA
29,November,Connectria,WSM International,"AWS Cloud, Microsoft Azure Partner",St. Louis,Missouri,United States,NA,NA,NA
28,November,Converge Technology Solutions,VSS Holdings,MSP,Toronto,Ontario,Canada,NA,NA,NA
27,November,Accenture,Silveo,SAP Partner,Dublin,,Ireland,NA,NA,NA
26,November,Eastbank Solutions,Artifex Partners,Microsoft Dynamics Partner,Portland,Oregon,United States,NA,NA,NA
25,November,Parity Technology Solutions,Hotspot International,"IT Solutions Provider, Hospitality",Toronto,Ontario,Canada,NA,NA,NA
