,title,price,sales,delivery
0,"Sponsored
YOKEKON Low Carb Rice Cooker Stainless Steel Inner Pot, Low Sugar 8 Cup Large Rice Maker with Steamer Basket, 24H Delay Timer and Auto Keep Warm Feature, Sushi/Grain/Cake/Porridge,Black",$119.99,"125
100+ bought in past month","Delivery Wed, Oct 23
Ships to Italy"
1,"Sponsored
CUCKOO CR-0675FW 6-Cup (Uncooked) / 12-Cup (Cooked) Micom Rice Cooker with Nonstick Inner Pot, 13 Menu Modes, LCD Display, Fuzzy Logic Tech, Auto Clean (White)",$76.49,"2,903
2K+ bought in past month","Delivery Wed, Oct 23
Ships to Italy"
2,"Instant Pot Duo 7-in-1 Mini Electric Pressure Cooker, Slow Rice Cooker, Steamer, Sauté, Yogurt Maker, Warmer & Sterilizer, Includes Free App with over 1900 Recipes, Stainless Steel, 3 Quart",$69.99,"125,645
9K+ bought in past month","Delivery Wed, Oct 23
Ships to Italy"
3,"Instant Pot Duo Plus 9-in-1 Electric Pressure Cooker, Slow Cooker, Rice Cooker, Steamer, Sauté, Yogurt Maker, Warmer & Sterilizer, Includes App With Over 800 Recipes, Stainless Steel, 6 Quart",$129.99,"#1 Top Rated
53,279
20K+ bought in past month","$54.61 delivery
Ships to Italy
Only 16 left in stock (more on the way)."
4,"Crock-Pot 7 Quart Oval Manual Slow Cooker, Stainless Steel (SCV700-S-BR), Versatile Cookware for Large Families or Entertaining",$29.99,"32,981
50K+ bought in past month","Delivery Wed, Oct 23
Ships to Italy"
5,"HAWKINS Classic CL50 5-Liter New Improved Aluminum Pressure Cooker, Small, Silver",$39.90,"2,356
200+ bought in past month","Delivery Fri, Oct 25
Ships to Italy
Only 13 left in stock - order soon."
6,"Sponsored
Sync Gold Wireless Meat Thermometer Digital with Dual 10X Signal Probes, Ensuring No Lost Connection in Kamado Cookers, Featuring a Standalone Base for Quick and Easy Control",$229.99,"15
100+ bought in past month","Delivery Wed, Oct 23
Ships to Italy"
7,"Hawkins CB30 Hard Anodised Pressure Cooker, 3-Liter, Contura Black",$41.90,"34,677
200+ bought in past month","Delivery Wed, Oct 23
Ships to Italy"
8,"AROMA Digital Rice Cooker, 4-Cup (Uncooked) / 8-Cup (Cooked), Steamer, Grain Cooker, Multicooker, 2 Qt, Stainless Steel Exterior, ARC-914SBD",$29.92,"60,580
20K+ bought in past month","Delivery Wed, Oct 23
Ships to Italy"
9,"Zojirushi NS-TSC10 5-1/2-Cup (Uncooked) Micom Rice Cooker and Warmer, 1.0-Liter",$142.07,"12,897
6K+ bought in past month","Delivery Wed, Oct 23
Ships to Italy"
10,"Crock-Pot Large 8-Quart Programmable Slow Cooker with Auto Warm Setting, Black Stainless Steel (Pack of 1)",$68.99,"15,977
10K+ bought in past month","Delivery Wed, Oct 23
Ships to Italy"
